21,EE3420,Hệ thống cung cấp điện,4,5.5,0.7
21,EE3481,Vi điều khiển và ứng dụng,3,4.5,0.7
21,EE3550,Điều khiển quá trình,3,4.5,0.6
21,EE3600,Hệ thống đo và điều khiển công nghiệp,3,4.5,0.7
21,EE3810,Đồ án I,2,4,0.7
21,EE4010,Lưới điện,3,4,0.7
21,EE4020,Ngắn mạch trong hệ thống điện,3,4,0.7
21,EE4030,Phần điện nhà máy điện và trạm biến áp,4,4,0.7
21,EE4050,Kỹ thuật điện cao áp I,3,4,0.7
21,EE4080,Máy điện II,3,4,0.5
21,EE4081,Vật liệu kỹ thuật điện,2,3.5,0.7
21,EM4720,Kế toán doanh nghiệp,4,5,0.7
21,ET3102,Kỹ thuật điện tử,4,5.5,0.7
21,ET3240,Điện tử tương tự II,3,4.5,0.7
21,ET3250,Thông tin số,3,4.5,0.7
21,ET3260,Kỹ thuật phần mềm ứng dụng,2,3,0.7
21,ET3280,Anten và truyền sóng,2,3.5,0.7
21,ET3290,Đồ án thiết kế I,2,4,1
21,ET4020,Xử lý số tín hiệu,3,4.5,0.7
22,EV3111,Chuyển khối trong CNMT,3,4.5,0.7
22,EV3112,Kỹ thuật phản ứng,3,3,0.7
22,EV3113,Hóa học môi trường,3,4.5,0.7
22,EV3114,Hóa sinh môi trường,3,4.5,0.7
22,EV3115,Vi sinh môi trường,3,4.5,0.7
22,EV3121,Độc học môi trường,2,3.5,0.7
22,EV3122,Đồ án I,2,4,0.7
22,EV3123,Kỹ thuật kiểm soát ô nhiễm không khí,4,5.5,0.7
22,EV3211,Sinh thái học môi trường,2,3,0.7
22,EV3221,Phân tích chất lượng môi trường,3,5,0.7
22,EV3222,Bảo vệ đa dạng sinh học,2,2,0.7
22,FL3052,Tiếng Anh CN Thông tin và Truyền thông I,3,4,0.5
22,FL3053,Tiếng Anh Cơ khí và Vật liệu I,3,4,0.5
22,FL4010,Dịch nói II TA KT Điện-Điện tử,3,5,0.5
22,FL4011,Dịch viết II TA KT Điện-điện tử,3,4,0.5
22,FL4014,TA KT điện-điện tử II,4,4,0.5
22,FL4020,Dịch nói II TA CNTT và TT,3,5,0.5
22,FL4021,Dịch viết II TA CNTT và TT,3,4,0.5
22,FL4024,TA CN thông tin và TT II,4,4,0.5
22,FL4030,Dịch nói II TA Cơ khí và KH VL,3,5,0.5
23,FL4031,Dịch viết II TA CK và KHVL,3,4,0.5
23,FL4034,TA Cơ khí và vật liệu II,4,4,0.5
23,FL4040,Dịch nói II TA KT và KD,3,5,0.5
23,FL4041,Dịch viết II TA KT và KD,3,4,0.5
23,FL4044,TA Kinh tế và Kinh doanh II,4,4,0.5
23,FL4050,Dịch nói II TA Hóa Môi trường,3,5,0.5
23,HE3001,Đồ án nhiệt - lạnh I,2,4,0.7
23,EV4113,Phục hồi ô nhiễm đất,2,3,0.6
23,HE3017,Hệ thống cung cấp nhiệt,3,4.5,0.7
23,IT2130,Tín hiệu và hệ thống,2,3,0.7
23,IT3061,Quá trình ngẫu nhiên ứng dụng,2,3,0.7
23,IT3430,Kỹ thuật điện tử tương tự và số,3,4,0.7
23,IT3910,Project I,3,6,0.7
23,IT3920,Project II,3,6,0.7
23,IT3930,Project II,2,4,0.7
23,IT4371,Các hệ phân tán,2,3,0.7
23,IT4409,Công nghệ Web và dịch vụ trực tuyến,3,4,0.7
23,IT4561,Kỹ thuật truyền thông điện tử,3,4,0.7
23,IT4601,Thiết bị truyền thông và mạng,3,4.5,0.7
23,ME3171,Công nghệ chế tạo máy,3,3,0.7
24,ME3300,Kỹ thuật lập trình trong cơ điện tử,3,4,0.7
